# Program:featureCounts v1.5.3; Command:"featureCounts" "-a" "/data/home/ecumunel/M2_internship/rnaseq_data/annotation/GCF_000008865.2_ASM886v2_genomic.gff" "-t" "gene" "-g" "locus_tag" "-o" "/data/home/ecumunel/M2_internship/rnaseq_data/featureCounts_results/trimmed_ERR2955748.tsv" "/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955748.sam" 
Geneid	Chr	Start	End	Strand	Length	/data/home/ecumunel/M2_internship/rnaseq_data/bowtie_results/trimmed_ERR2955748.sam
ECs_0107	NC_002695.2	117089	117709	-	621	1607
ECs_0108	NC_002695.2	117934	118977	+	1044	10559
ECs_0110	NC_002695.2	119012	120214	-	1203	1161
ECs_0111	NC_002695.2	120204	121589	-	1386	765
ECs_0112	NC_002695.2	121599	122039	-	441	103
ECs_0113	NC_002695.2	122242	123135	-	894	6451
ECs_0114	NC_002695.2	123223	123774	+	552	1701
ECs_0115	NC_002695.2	123771	124625	+	855	2507
ECs_0116	NC_002695.2	124668	126038	-	1371	21055
ECs_0117	NC_002695.2	126582	127346	+	765	19059
ECs_0118	NC_002695.2	127507	130170	+	2664	87983
ECs_0119	NC_002695.2	130185	132077	+	1893	33759
ECs_0120	NC_002695.2	132285	133709	+	1425	60118
ECs_0121	NC_002695.2	133780	135633	-	1854	1387
ECs_0122	NC_002695.2	135988	138585	+	2598	62033
ECs_0123	NC_002695.2	138761	139123	+	363	876
ECs_0124	NC_002695.2	139161	139955	-	795	10192
ECs_0125	NC_002695.2	139971	140837	-	867	14096
ECs_0126	NC_002695.2	140943	141251	-	309	5219
ECs_0127	NC_002695.2	141456	143006	+	1551	5336
ECs_0128	NC_002695.2	143208	145598	-	2391	6632
ECs_0129	NC_002695.2	145804	146340	+	537	8293
ECs_0130	NC_002695.2	146381	147043	-	663	38539
ECs_0131	NC_002695.2	147152	148078	+	927	3797
ECs_0132	NC_002695.2	148075	148845	+	771	2630
ECs_0133	NC_002695.2	148950	149390	+	441	597
ECs_0134	NC_002695.2	149454	150683	+	1230	2504
ECs_0135	NC_002695.2	150687	151067	-	381	8991
ECs_0136	NC_002695.2	151341	152237	+	897	582
ECs_0137	NC_002695.2	152536	153387	-	852	20394
ECs_0138	NC_002695.2	153399	154193	-	795	7318
ECs_0139	NC_002695.2	154328	155437	-	1110	3984
ECs_0140	NC_002695.2	155449	156039	-	591	342
ECs_0141	NC_002695.2	156060	156665	-	606	1294
ECs_0142	NC_002695.2	156680	157228	-	549	417
ECs_0143	NC_002695.2	157242	159842	-	2601	1328
ECs_0144	NC_002695.2	159884	160609	-	726	171
ECs_0145	NC_002695.2	160696	161292	-	597	76
ECs_0146	NC_002695.2	161573	162055	-	483	1614
ECs_0147	NC_002695.2	162052	163449	-	1398	23454
ECs_0148	NC_002695.2	163509	164435	-	927	3497
ECs_0149	NC_002695.2	164472	164927	-	456	30416
ECs_0150	NC_002695.2	165105	165809	-	705	1336
ECs_0151	NC_002695.2	165824	166354	-	531	873
ECs_0152	NC_002695.2	166428	168857	+	2430	4931
ECs_0153	NC_002695.2	169053	171587	+	2535	19699
ECs_0154	NC_002695.2	171807	174050	+	2244	4094
ECs_0155	NC_002695.2	174101	174898	+	798	649
ECs_0156	NC_002695.2	174898	175788	+	891	304
ECs_0157	NC_002695.2	175785	177767	+	1983	613
ECs_0158	NC_002695.2	177802	179082	-	1281	15603
ECs_0159	NC_002695.2	179307	180728	+	1422	2318
ECs_0160	NC_002695.2	180810	181154	+	345	3562
ECs_0161	NC_002695.2	181201	181824	-	624	2013
ECs_0162	NC_002695.2	181862	182662	-	801	2970
ECs_0163	NC_002695.2	182655	183353	-	699	11828
ECs_0164	NC_002695.2	183437	184954	+	1518	3814
ECs_0165	NC_002695.2	185084	186508	+	1425	27914
ECs_0166	NC_002695.2	186663	187820	+	1158	1032
ECs_0167	NC_002695.2	187909	188295	-	387	10141
ECs_0168	NC_002695.2	188610	189434	-	825	18258
ECs_0169	NC_002695.2	189465	192137	-	2673	10317
ECs_0170	NC_002695.2	192199	192993	-	795	12390
ECs_0171	NC_002695.2	193361	194086	+	726	341082
ECs_0172	NC_002695.2	194344	195195	+	852	125400
ECs_0173	NC_002695.2	195342	196067	+	726	22037
ECs_0174	NC_002695.2	196217	196774	+	558	46507
ECs_0175	NC_002695.2	196866	198062	+	1197	5675
ECs_0176	NC_002695.2	198251	199009	+	759	26654
ECs_0177	NC_002695.2	199052	199879	+	828	13731
ECs_0178	NC_002695.2	199891	201243	+	1353	26400
ECs_0179	NC_002695.2	201273	203705	+	2433	97317
ECs_0180	NC_002695.2	203826	204311	+	486	65505
ECs_0181	NC_002695.2	204315	205340	+	1026	36540
ECs_0182	NC_002695.2	205445	205900	+	456	18229
ECs_0183	NC_002695.2	205904	206692	+	789	25555
ECs_0184	NC_002695.2	206692	207840	+	1149	14010
ECs_0185	NC_002695.2	207837	208433	+	597	3729
ECs_0186	NC_002695.2	208470	211952	+	3483	24350
ECs_0187	NC_002695.2	211965	212924	+	960	24021
ECs_0188	NC_002695.2	213023	215164	+	2142	3758
ECs_0189	NC_002695.2	215221	215610	+	390	822
ECs_0190	NC_002695.2	215675	216970	+	1296	1926
ECs_0191	NC_002695.2	217023	217283	-	261	3226
ECs_5365	NC_002695.2	217270	217470	-	201	3489
ECs_0192	NC_002695.2	217636	218094	+	459	2565
ECs_0193	NC_002695.2	218178	218588	+	411	1876
ECs_0194	NC_002695.2	218602	219312	+	711	3495
ECs_0195	NC_002695.2	219512	220336	-	825	580
ECs_0196	NC_002695.2	220389	222107	-	1719	32143
ECs_0197	NC_002695.2	222218	222925	-	708	5384
ECs_0198	NC_002695.2	222922	223326	-	405	8018
ECs_0199	NC_002695.2	223444	224259	-	816	125319
ECs_0200	NC_002695.2	224299	224952	-	654	15834
ECs_0201	NC_002695.2	224945	225976	-	1032	20009
ECs_0202	NC_002695.2	226164	226739	+	576	1888
ECs_R0001	NC_002695.2	227106	228643	+	1538	4344
ECs_R0024	NC_002695.2	228713	228789	+	77	724
ECs_R0025	NC_002695.2	228832	228907	+	76	620
ECs_R0002	NC_002695.2	229093	231992	+	2900	949
ECs_R0003	NC_002695.2	232090	232200	+	111	3
ECs_R0026	NC_002695.2	232258	232334	+	77	88
ECs_0203	NC_002695.2	232497	233300	+	804	793
ECs_0204	NC_002695.2	233297	234211	-	915	1837
ECs_0205	NC_002695.2	234473	235252	+	780	4026
ECs_0206	NC_002695.2	235330	236100	+	771	2808
ECs_0207	NC_002695.2	236148	237506	-	1359	162868
ECs_0208	NC_002695.2	237578	238333	-	756	5345
ECs_0209	NC_002695.2	238367	239089	+	723	3563
ECs_0210	NC_002695.2	239086	239553	-	468	2358
ECs_0211	NC_002695.2	239609	240349	+	741	5991
ECs_R0027	NC_002695.2	240482	240558	+	77	404
ECs_5700	NC_002695.2	240887	241687	+	801	409
ECs_0212	NC_002695.2	241872	242168	-	297	37
ECs_0213	NC_002695.2	242165	242614	-	450	14
ECs_0214	NC_002695.2	242617	243213	-	597	18
ECs_0215	NC_002695.2	243292	243513	-	222	14
ECs_0216	NC_002695.2	243534	244013	-	480	28
ECs_0217	NC_002695.2	243979	245388	-	1410	576
ECs_0218	NC_002695.2	245399	248833	-	3435	770
ECs_0222	NC_002695.2	250386	251129	-	744	26
ECs_0223	NC_002695.2	251126	253897	-	2772	338
ECs_0224	NC_002695.2	253906	254667	-	762	223
ECs_0225	NC_002695.2	254672	256003	-	1332	823
ECs_0226	NC_002695.2	256006	256530	-	525	125
ECs_0227	NC_002695.2	256527	257807	-	1281	216
ECs_0228	NC_002695.2	257832	258914	-	1083	178
ECs_0229	NC_002695.2	258878	260728	-	1851	648
ECs_0230	NC_002695.2	260732	261145	-	414	250
ECs_0231	NC_002695.2	261236	262627	-	1392	427
ECs_0232	NC_002695.2	262678	262902	-	225	77
ECs_0233	NC_002695.2	262937	263437	-	501	307
ECs_0234	NC_002695.2	264134	264652	+	519	232
ECs_0236	NC_002695.2	264862	267003	+	2142	207
ECs_0237	NC_002695.2	267079	271293	+	4215	797
ECs_0238	NC_002695.2	271362	271907	+	546	226
ECs_0241	NC_002695.2	272653	273789	+	1137	146
ECs_0242	NC_002695.2	273792	275552	+	1761	657
ECs_0243	NC_002695.2	275536	275706	+	171	6
ECs_0244	NC_002695.2	275754	276017	+	264	17
ECs_0245	NC_002695.2	276198	277370	+	1173	166
ECs_0246	NC_002695.2	277488	278258	-	771	1754
ECs_0247	NC_002695.2	278439	278885	+	447	2386
ECs_0248	NC_002695.2	278928	281372	-	2445	5187
ECs_0249	NC_002695.2	281612	282190	+	579	4823
ECs_0250	NC_002695.2	282295	283062	+	768	4563
ECs_0251	NC_002695.2	283033	283773	-	741	7548
ECs_0252	NC_002695.2	283929	284189	-	261	1324
ECs_0253	NC_002695.2	284208	284468	-	261	2522
ECs_0254	NC_002695.2	284654	285427	+	774	259
ECs_0256	NC_002695.2	286245	287984	-	1740	201
ECs_0257	NC_002695.2	288079	288714	+	636	79
ECs_0258	NC_002695.2	288785	289840	+	1056	665
ECs_0259	NC_002695.2	289892	290185	+	294	314
ECs_0260	NC_002695.2	290188	290586	+	399	216
ECs_0261	NC_002695.2	290671	291048	+	378	149
ECs_0262	NC_002695.2	291355	291621	+	267	44
ECs_0263	NC_002695.2	291590	292090	+	501	863
ECs_0264	NC_002695.2	292147	293604	-	1458	37708
ECs_0265	NC_002695.2	293865	294323	+	459	9623
ECs_0266	NC_002695.2	294415	295659	+	1245	3237
ECs_0267	NC_002695.2	295717	296118	+	402	9984
ECs_0268	NC_002695.2	296157	297212	-	1056	456
ECs_0269	NC_002695.2	297500	298603	+	1104	6079
ECs_0270	NC_002695.2	298615	299868	+	1254	7167
ECs_R0028	NC_002695.2	299983	300058	+	76	743
ECs_0272	NC_002695.2	300938	301183	-	246	618
ECs_0273	NC_002695.2	301423	301812	-	390	2421
ECs_0274	NC_002695.2	301940	302653	-	714	18634
ECs_0275	NC_002695.2	302754	302954	+	201	81
ECs_0276	NC_002695.2	303073	303366	+	294	87
ECs_0280	NC_002695.2	304629	305423	+	795	118
ECs_0281	NC_002695.2	305423	306016	+	594	81
ECs_0282	NC_002695.2	305988	306431	-	444	28
ECs_0283	NC_002695.2	306452	306862	-	411	31
ECs_0284	NC_002695.2	306892	307446	+	555	130
ECs_0285	NC_002695.2	307504	308277	-	774	3069
ECs_0287	NC_002695.2	309101	309844	+	744	87
ECs_0288	NC_002695.2	309886	310239	-	354	119
ECs_0289	NC_002695.2	310807	311988	+	1182	365
ECs_0290	NC_002695.2	311992	312408	+	417	21
ECs_0291	NC_002695.2	312381	312998	+	618	8
ECs_0292	NC_002695.2	312998	313456	+	459	8
ECs_0296	NC_002695.2	315678	315950	-	273	270
ECs_0297	NC_002695.2	315956	316507	-	552	174
ECs_0298	NC_002695.2	316504	317256	-	753	42
ECs_0299	NC_002695.2	318190	318450	+	261	10
ECs_0300	NC_002695.2	318447	319004	+	558	236
ECs_0301	NC_002695.2	319001	319222	+	222	28
ECs_0302	NC_002695.2	319222	319545	+	324	244
ECs_0303	NC_002695.2	319559	321892	+	2334	976
ECs_0304	NC_002695.2	322025	322981	-	957	421
ECs_0305	NC_002695.2	323657	324556	-	900	1012
ECs_0306	NC_002695.2	324655	325377	+	723	263
ECs_0307	NC_002695.2	325544	325822	+	279	13
ECs_0309	NC_002695.2	326525	327427	-	903	1055
ECs_0310	NC_002695.2	327673	328731	+	1059	187
ECs_0311	NC_002695.2	328873	330000	+	1128	348
ECs_0313	NC_002695.2	330179	331135	-	957	518
ECs_0314	NC_002695.2	331145	333343	-	2199	1199
ECs_0315	NC_002695.2	333340	334296	-	957	343
ECs_0316	NC_002695.2	334293	334982	-	690	1316
ECs_0317	NC_002695.2	335400	336014	+	615	237
ECs_0319	NC_002695.2	336904	337614	-	711	461
ECs_0320	NC_002695.2	337583	339226	-	1644	1169
ECs_0321	NC_002695.2	339216	341741	-	2526	1488
ECs_0322	NC_002695.2	341767	342435	-	669	357
ECs_0323	NC_002695.2	342493	343080	-	588	828
ECs_0324	NC_002695.2	343155	343697	-	543	353
ECs_0326	NC_002695.2	344522	344713	+	192	11
ECs_5701	NC_002695.2	344783	344923	-	141	94
ECs_0327	NC_002695.2	344923	345189	-	267	410
ECs_0328	NC_002695.2	345450	345830	+	381	214
ECs_0329	NC_002695.2	345827	346174	+	348	182
ECs_0330	NC_002695.2	346224	347762	+	1539	2849
ECs_0331	NC_002695.2	348574	349716	-	1143	50
ECs_0332	NC_002695.2	349951	350871	-	921	303
ECs_0333	NC_002695.2	351028	351954	+	927	871
ECs_0334	NC_002695.2	352242	352598	-	357	742
ECs_0335	NC_002695.2	352791	353366	-	576	222
ECs_0336	NC_002695.2	353932	358185	+	4254	552
ECs_0337	NC_002695.2	358306	359163	-	858	2399
ECs_0338	NC_002695.2	359412	360281	+	870	934
ECs_0340	NC_002695.2	360441	361034	-	594	51
ECs_0342	NC_002695.2	361391	362716	-	1326	1105
ECs_0343	NC_002695.2	362942	363796	+	855	324
ECs_0344	NC_002695.2	364323	365042	+	720	229
ECs_0345	NC_002695.2	365053	366480	+	1428	461
ECs_0346	NC_002695.2	366473	367168	+	696	135
ECs_0349	NC_002695.2	368261	368473	-	213	13
ECs_0350	NC_002695.2	368427	369521	-	1095	35
ECs_0351	NC_002695.2	369563	370324	-	762	71
ECs_0352	NC_002695.2	371105	371272	-	168	95
ECs_0356	NC_002695.2	372408	372542	+	135	0
ECs_0357	NC_002695.2	373224	374912	-	1689	911
ECs_0358	NC_002695.2	374926	376398	-	1473	1278
ECs_0359	NC_002695.2	376412	376999	-	588	730
ECs_0360	NC_002695.2	377128	379161	+	2034	1705
ECs_0362	NC_002695.2	379735	383718	+	3984	1028
ECs_0363	NC_002695.2	383860	384948	+	1089	1176
ECs_0366	NC_002695.2	386013	386315	-	303	0
ECs_0367	NC_002695.2	386778	387383	+	606	109
ECs_0368	NC_002695.2	387423	388286	+	864	21
ECs_0369	NC_002695.2	388276	389823	+	1548	64
ECs_0370	NC_002695.2	389823	391241	+	1419	439
ECs_0371	NC_002695.2	391267	391587	+	321	533
ECs_0372	NC_002695.2	391756	392706	+	951	169
ECs_0373	NC_002695.2	392716	394098	+	1383	459
ECs_5377	NC_002695.2	394397	394807	+	411	74
ECs_0374	NC_002695.2	395058	396044	+	987	715
ECs_0375	NC_002695.2	396399	397577	+	1179	655
ECs_0377	NC_002695.2	397570	398541	+	972	426
ECs_0378	NC_002695.2	398538	399494	+	957	3256
ECs_0379	NC_002695.2	399581	400630	+	1050	10142
ECs_0380	NC_002695.2	400873	401688	+	816	68
ECs_0382	NC_002695.2	402366	402998	-	633	399
ECs_0383	NC_002695.2	403184	403459	+	276	17676
ECs_0384	NC_002695.2	403557	405143	-	1587	1401
ECs_0385	NC_002695.2	405382	406272	+	891	473
ECs_0386	NC_002695.2	406428	407597	+	1170	414
ECs_0387	NC_002695.2	407631	409082	+	1452	295
ECs_0388	NC_002695.2	409122	411008	+	1887	315
ECs_0389	NC_002695.2	411902	413161	+	1260	12308
ECs_0390	NC_002695.2	413151	414434	+	1284	18133
ECs_0391	NC_002695.2	414567	415466	-	900	2902
ECs_0392	NC_002695.2	415576	416235	+	660	151
ECs_0393	NC_002695.2	416266	416736	+	471	98
ECs_0394	NC_002695.2	416742	417923	+	1182	1013
ECs_0395	NC_002695.2	418026	418637	-	612	7347
ECs_0396	NC_002695.2	418703	419956	-	1254	9363
ECs_0397	NC_002695.2	420008	423082	-	3075	68770
ECs_0398	NC_002695.2	423205	424296	-	1092	2637
ECs_0399	NC_002695.2	424324	425277	-	954	999
ECs_0400	NC_002695.2	425297	426073	-	777	743
ECs_0401	NC_002695.2	426188	427135	-	948	518
ECs_0402	NC_002695.2	427212	428876	+	1665	97
ECs_0403	NC_002695.2	428878	429822	+	945	70
ECs_0404	NC_002695.2	429840	430706	+	867	106
ECs_0405	NC_002695.2	430716	431525	+	810	47
ECs_0406	NC_002695.2	431522	432472	+	951	107
ECs_0407	NC_002695.2	432469	433482	+	1014	70
ECs_0408	NC_002695.2	433658	434869	+	1212	206
ECs_0409	NC_002695.2	434971	435510	+	540	1091
ECs_0410	NC_002695.2	435635	436468	-	834	2230
ECs_0411	NC_002695.2	436561	437670	-	1110	9177
ECs_0412	NC_002695.2	437705	437980	-	276	2556
ECs_0413	NC_002695.2	438140	439186	-	1047	715
ECs_0414	NC_002695.2	439198	441276	-	2079	694
ECs_0415	NC_002695.2	441345	442376	-	1032	630
ECs_0416	NC_002695.2	442373	443677	-	1305	703
ECs_0417	NC_002695.2	443762	445303	-	1542	898
ECs_0418	NC_002695.2	445303	445932	-	630	633
ECs_0419	NC_002695.2	446235	447197	+	963	1444
ECs_0420	NC_002695.2	447210	447977	+	768	855
ECs_0421	NC_002695.2	447974	448801	+	828	648
ECs_0422	NC_002695.2	448798	449649	+	852	2838
ECs_0423	NC_002695.2	449756	450730	-	975	8909
ECs_0424	NC_002695.2	451256	454198	+	2943	2751
ECs_0425	NC_002695.2	454286	454909	+	624	101
ECs_0426	NC_002695.2	454910	456067	-	1158	2047
ECs_0427	NC_002695.2	456419	457639	+	1221	974
ECs_0428	NC_002695.2	457652	458746	+	1095	2987
ECs_0429	NC_002695.2	458805	459113	-	309	2889
ECs_0430	NC_002695.2	459373	459585	+	213	336
ECs_0431	NC_002695.2	459609	460703	-	1095	7488
ECs_0432	NC_002695.2	461166	461426	+	261	2327
ECs_0433	NC_002695.2	461527	462942	+	1416	1803
ECs_0434	NC_002695.2	463061	463381	+	321	3967
ECs_0435	NC_002695.2	463483	464598	+	1116	832
ECs_0436	NC_002695.2	464615	465424	-	810	5514
ECs_0437	NC_002695.2	465544	466002	+	459	1463
ECs_0438	NC_002695.2	466185	466709	+	525	5232
ECs_0439	NC_002695.2	466759	466950	+	192	3609
ECs_0440	NC_002695.2	467208	467885	+	678	7062
ECs_0441	NC_002695.2	467957	468241	+	285	5990
ECs_0442	NC_002695.2	468385	470664	+	2280	215
ECs_0443	NC_002695.2	470661	471110	+	450	287
ECs_0444	NC_002695.2	471195	472172	-	978	10758
ECs_0445	NC_002695.2	472231	473139	+	909	346
ECs_0446	NC_002695.2	473282	474550	-	1269	1226
ECs_0447	NC_002695.2	474592	477735	-	3144	3574
ECs_0448	NC_002695.2	477732	478934	-	1203	2279
ECs_0449	NC_002695.2	479124	479813	+	690	1980
ECs_0450	NC_002695.2	479871	481166	+	1296	2066
ECs_0451	NC_002695.2	481573	482892	+	1320	7985
ECs_0452	NC_002695.2	482968	484341	+	1374	2809
ECs_0453	NC_002695.2	484497	486314	+	1818	633
ECs_0454	NC_002695.2	486502	487947	+	1446	490
ECs_0455	NC_002695.2	487968	488549	-	582	1706
ECs_0456	NC_002695.2	488642	489712	+	1071	5237
ECs_0457	NC_002695.2	489767	490894	+	1128	33257
ECs_0458	NC_002695.2	490917	491249	+	333	19669
ECs_0459	NC_002695.2	491310	493124	+	1815	31268
ECs_0460	NC_002695.2	493135	494106	+	972	9015
ECs_0461	NC_002695.2	494257	494499	+	243	1009
ECs_0462	NC_002695.2	494492	494773	+	282	1193
ECs_0463	NC_002695.2	494861	495208	+	348	3474
ECs_0464	NC_002695.2	495385	496269	-	885	14393
ECs_0465	NC_002695.2	496568	497107	-	540	2567
ECs_0466	NC_002695.2	497258	497707	+	450	1696
ECs_0467	NC_002695.2	497711	498814	+	1104	3628
ECs_0468	NC_002695.2	498903	499373	+	471	10326
ECs_0469	NC_002695.2	499393	499812	+	420	12782
ECs_0470	NC_002695.2	499890	500867	+	978	848
ECs_0471	NC_002695.2	500845	501360	+	516	973
ECs_0472	NC_002695.2	501538	503109	-	1572	316
ECs_0473	NC_002695.2	503340	504314	-	975	2998
ECs_0474	NC_002695.2	504369	506231	-	1863	13454
ECs_0475	NC_002695.2	506256	507155	-	900	10558
ECs_0476	NC_002695.2	507155	507397	-	243	1519
ECs_0477	NC_002695.2	507603	509051	+	1449	14337
ECs_0478	NC_002695.2	509105	509695	-	591	815
ECs_0479	NC_002695.2	509658	510569	-	912	2077
ECs_0480	NC_002695.2	510737	511228	+	492	9274
ECs_0481	NC_002695.2	511356	512720	-	1365	2340
ECs_0482	NC_002695.2	512869	513759	-	891	8763
ECs_0483	NC_002695.2	513771	514100	-	330	4680
ECs_0484	NC_002695.2	514100	514714	-	615	7918
ECs_0485	NC_002695.2	514704	516695	-	1992	51085
ECs_0486	NC_002695.2	516717	517664	-	948	40134
ECs_0487	NC_002695.2	518124	519599	-	1476	5632
ECs_0488	NC_002695.2	519643	520221	-	579	9094
ECs_0489	NC_002695.2	520529	520843	+	315	27302
ECs_0490	NC_002695.2	521187	522485	+	1299	165112
ECs_0491	NC_002695.2	522730	523353	+	624	23864
ECs_0492	NC_002695.2	523479	524753	+	1275	42416
ECs_0493	NC_002695.2	524941	527295	+	2355	48281
ECs_0494	NC_002695.2	527504	527776	+	273	21752
ECs_0495	NC_002695.2	527968	529839	+	1872	27600
ECs_0496	NC_002695.2	529990	530361	+	372	276
ECs_0497	NC_002695.2	530467	530865	+	399	725
ECs_0498	NC_002695.2	530917	531612	-	696	2077
ECs_0499	NC_002695.2	531677	533377	-	1701	913
ECs_0500	NC_002695.2	533477	534295	+	819	2282
ECs_0501	NC_002695.2	534447	534905	+	459	1010
ECs_0502	NC_002695.2	534935	536707	+	1773	1356
ECs_0503	NC_002695.2	536700	538481	+	1782	1526
ECs_0504	NC_002695.2	538662	539000	+	339	484
ECs_0505	NC_002695.2	539030	540316	+	1287	888
ECs_0506	NC_002695.2	540365	541225	-	861	2967
